qid,retriever,text,search_text,figure_question,figure_in_top_k,figure_rank,section_in_top_k,terms_in_top_k
Q42,hybrid,trimmed,How much did earn in net income?,True,True,2.0,False,
Q42,bm25,shipped,How much did earn in net income?,True,False,11.0,False,
Q42,dense,shipped,How much did earn in net income?,True,False,12.0,False,
Q42,hybrid,shipped,How much did earn in net income?,True,True,7.0,False,
Q43,bm25,full,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q43,dense,full,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q43,hybrid,full,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q43,bm25,trimmed,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q43,dense,trimmed,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q43,hybrid,trimmed,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q43,bm25,shipped,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q43,dense,shipped,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q43,hybrid,shipped,What service offerings made up Customer 360 platform?,False,,,True,1.0
Q44,bm25,full,"What was subscription and support revenue, and what share of total revenues did it represent?",True,False,15.0,True,
Q44,dense,full,"What was subscription and support revenue, and what share of total revenues did it represent?",True,True,14.0,True,
Q44,hybrid,full,"What was subscription and support revenue, and what share of total revenues did it represent?",True,True,9.0,True,
Q44,bm25,trimmed,"What was subscription and support revenue, and what share of total revenues did it represent?",True,False,11.0,True,
Q44,dense,trimmed,"What was subscription and support revenue, and what share of total revenues did it represent?",True,False,11.0,True,
Q44,hybrid,trimmed,"What was subscription and support revenue, and what share of total revenues did it represent?",True,False,10.0,True,
Q44,bm25,shipped,"What was subscription and support revenue, and what share of total revenues did it represent?",True,False,11.0,True,
Q44,dense,shipped,"What was subscription and support revenue, and what share of total revenues did it represent?",True,True,14.0,True,
Q44,hybrid,shipped,"What was subscription and support revenue, and what share of total revenues did it represent?",True,True,9.0,True,
Q45,bm25,full,What was the total value of Goodwill at the end?,True,False,,True,
Q45,dense,full,What was the total value of Goodwill at the end?,True,False,46.0,True,
Q45,hybrid,full,What was the total value of Goodwill at the end?,True,False,,True,
Q45,bm25,trimmed,What was the total value of Goodwill at the end?,True,False,,True,
Q45,dense,trimmed,What was the total value of Goodwill at the end?,True,False,,True,
Q45,hybrid,trimmed,What was the total value of Goodwill at the end?,True,False,,True,
Q45,bm25,shipped,What was the total value of Goodwill at the end?,True,False,,True,
Q45,dense,shipped,What was the total value of Goodwill at the end?,True,False,46.0,True,
Q45,hybrid,shipped,What was the total value of Goodwill at the end?,True,False,,True,
Q46,bm25,full,What were the known risks of generative AI that identified?,False,,,True,1.0
Q46,dense,full,What were the known risks of generative AI that identified?,False,,,True,1.0
Q46,hybrid,full,What were the known risks of generative AI that identified?,False,,,True,1.0
Q46,bm25,trimmed,What were the known risks of generative AI that identified?,False,,,True,1.0
Q46,dense,trimmed,What were the known risks of generative AI that identified?,False,,,True,1.0
Q46,hybrid,trimmed,What were the known risks of generative AI that identified?,False,,,True,1.0
Q46,bm25,shipped,What were the known risks of generative AI that identified?,False,,,True,1.0
Q46,dense,shipped,What were the known risks of generative AI that identified?,False,,,True,1.0
Q46,hybrid,shipped,What were the known risks of generative AI that identified?,False,,,True,1.0
Q47,bm25,full,What percentage of total revenue came from the Americas?,True,False,18.0,True,
Q47,dense,full,What percentage of total revenue came from the Americas?,True,True,2.0,True,
Q47,hybrid,full,What percentage of total revenue came from the Americas?,True,True,5.0,True,
Q47,bm25,trimmed,What percentage of total revenue came from the Americas?,True,False,20.0,True,
Q47,dense,trimmed,What percentage of total revenue came from the Americas?,True,True,2.0,True,
Q47,hybrid,trimmed,What percentage of total revenue came from the Americas?,True,False,10.0,True,
Q47,bm25,shipped,What percentage of total revenue came from the Americas?,True,False,20.0,True,
Q47,dense,shipped,What percentage of total revenue came from the Americas?,True,True,2.0,True,
Q47,hybrid,shipped,What percentage of total revenue came from the Americas?,True,True,4.0,True,
Q48,bm25,full,What was the Americas' contribution as a percentage of total revenue?,True,False,23.0,True,
Q48,dense,full,What was the Americas' contribution as a percentage of total revenue?,True,True,1.0,True,
Q48,hybrid,full,What was the Americas' contribution as a percentage of total revenue?,True,True,7.0,True,
Q48,bm25,trimmed,What was the Americas' contribution as a percentage of total revenue?,True,False,12.0,True,
Q48,dense,trimmed,What was the Americas' contribution as a percentage of total revenue?,True,True,2.0,True,
Q48,hybrid,trimmed,What was the Americas' contribution as a percentage of total revenue?,True,True,5.0,True,
Q48,bm25,shipped,What was the Americas' contribution as a percentage of total revenue?,True,False,12.0,True,
Q48,dense,shipped,What was the Americas' contribution as a percentage of total revenue?,True,True,1.0,True,
Q48,hybrid,shipped,What was the Americas' contribution as a percentage of total revenue?,True,True,4.0,True,
